,ACF1,lumpiness,stationary,entropy,lshift,vchange,fspots,missing,trend,linearity,curvature,spikiness,season,peak,trough,KLscore,change.idx
1,0.932132253644488,0.0725218722463281,0.0258117540159705,0.41604655798266,0.913195225127827,0.72651755836248,14,2231,0.135700764825475,-2.38601778436586,-2.75458395948699,5.6046997391798e-10,0.865085578162432,20.695908860903,-3.72199332526049,27.8207358911482,16410
2,0.930161555264648,0.114903035763021,0.0301611141740832,0.41261059941607,0.4491789775055,0.53916972431012,17,0,0.0956649882089433,-0.763554902832921,0.732865426030731,3.63210218611225e-10,0.816621105941194,21.6556139730031,-3.25159992888985,34.2088919936286,8585
3,0.941616728037853,0.0561426277904942,0.0283806334822768,0.389361701824361,0.554446427373855,0.510747595760959,16,0,0.229155819265943,-2.89954244453969,-4.06135970637295,2.80877761615854e-10,0.858957099956097,19.7829589362838,-4.67261156927732,32.4638513200265,10034
4,0.943959177725834,0.0524668108194425,0.0283368731750318,0.414190824587084,1.17635414747924,0.758351690752041,11,336,0.272815183046968,1.80449766988195,-0.106525721506686,5.33742454680687e-10,0.896171220573825,21.0265795844018,-5.25548027447989,15.1487700242027,13654
5,0.880197366753865,0.208892021555859,0.0507133721103321,0.509453701581237,0.819960277701133,0.600955782471372,14,0,0.156396868564148,10.3952662820116,2.54638561578326,1.92690890470636e-09,0.690056823594645,20.8201409276953,-3.18305003592559,75.4580875222938,20268
6,0.806630978459963,0.36642871843511,0.132365179433844,0.531613907740147,0.566822594937359,0.408700457363397,15,0,0.181173800529161,19.8691645150817,10.068733532884,4.00720426092137e-09,0.498511326707737,12.421403648113,-2.63101692030567,35.6298644636026,1298
7,0.714532138779179,3.08907887845805,0.202622111356392,0.884266485304464,0.79796574636704,0.145546743936569,821,7653,0.10873418273531,-5.10828826755013,2.84593578116232,4.03953387489079e-07,0.0671663989325278,6.40073143226712,-0.731677811460677,216.152454100299,19148
8,0.694868972186299,0.195962009808594,0.0549289143917365,0.591839251831461,1.15103840808446,0.520006364113213,39,192,0.0465065140406931,-1.19122855835111,-0.328375759482033,5.60462428590767e-09,0.438618741684,14.9123412623507,-1.87139654687678,37.5756235807513,1099
9,0.687168495129608,0.266363272436679,0.11482687755623,0.612919359670933,0.731806940063734,0.530712677621238,111,0,0.093601252192967,-1.36895194505974,0.166673529778305,5.93014510657837e-09,0.141910131313662,4.78764767081813,-0.529296360220411,80.4300458793845,2731
10,0.764630931154846,0.511824439773614,0.128678226181586,0.605028135503656,0.857038030125834,0.772151260001205,271,0,0.158837438222461,-2.63454127232591,-2.29136598324385,1.33923308448785e-08,0.356700231604212,10.5037688617315,-1.99757716419414,74.9905765520436,20757
